,K2_value,Initial_population_list,optimum_C_value
210,5.5,1750,0.05
211,5.75,1750,0.0
212,6.0,1750,0.0
213,6.25,1750,-0.05
214,6.5,1750,0.0
215,6.75,1750,-0.05
216,7.0,1750,-0.1
217,7.25,1750,-0.05
218,7.5,1750,-0.05
219,7.75,1750,-0.05
220,8.0,1750,-0.05
221,8.25,1750,-0.05
222,8.5,1750,-0.05
223,8.75,1750,-0.05
224,9.0,1750,-0.05
225,9.25,1750,-0.05
226,9.5,1750,-0.05
227,9.75,1750,-0.05
228,0.5,2000,1.75
229,0.75,2000,1.1
230,1.0,2000,0.8
231,1.25,2000,0.6
232,1.5,2000,0.5
233,1.75,2000,0.4
234,2.0,2000,0.35
235,2.25,2000,0.25
236,2.5,2000,0.25
237,2.75,2000,0.2
238,3.0,2000,0.15
239,3.25,2000,0.15
240,3.5,2000,0.15
241,3.75,2000,0.15
242,4.0,2000,0.1
243,4.25,2000,0.1
244,4.5,2000,0.05
245,4.75,2000,0.05
246,5.0,2000,0.05
247,5.25,2000,0.05
248,5.5,2000,0.05
249,5.75,2000,0.05
250,6.0,2000,0.05
251,6.25,2000,0.05
252,6.5,2000,0.05
253,6.75,2000,0.0
254,7.0,2000,0.0
255,7.25,2000,0.0
256,7.5,2000,0.0
257,7.75,2000,0.0
258,8.0,2000,0.0
259,8.25,2000,0.0
260,8.5,2000,-0.05
261,8.75,2000,-0.05
262,9.0,2000,-0.05
263,9.25,2000,-0.05
264,9.5,2000,-0.05
265,9.75,2000,-0.05
266,0.5,2250,1.75
267,0.75,2250,1.05
268,1.0,2250,0.8
269,1.25,2250,0.65
270,1.5,2250,0.45
271,1.75,2250,0.4
272,2.0,2250,0.35
273,2.25,2250,0.2
274,2.5,2250,0.25
275,2.75,2250,0.25
276,3.0,2250,0.15
277,3.25,2250,0.15
278,3.5,2250,0.15
279,3.75,2250,0.15
280,4.0,2250,0.0
281,4.25,2250,0.0
282,4.5,2250,0.05
283,4.75,2250,0.05
284,5.0,2250,0.05
285,5.25,2250,0.05
286,5.5,2250,-0.05
287,5.75,2250,0.05
288,6.0,2250,-0.05
289,6.25,2250,0.05
290,6.5,2250,0.05
291,6.75,2250,-0.05
292,7.0,2250,0.0
293,7.25,2250,-0.05
294,7.5,2250,-0.05
295,7.75,2250,-0.05
296,8.0,2250,-0.05
297,8.25,2250,0.0
298,8.5,2250,0.0
299,8.75,2250,-0.1
300,9.0,2250,-0.05
301,9.25,2250,-0.05
302,9.5,2250,-0.1
303,9.75,2250,-0.05
304,0.5,2500,1.75
305,0.75,2500,1.15
306,1.0,2500,0.85
307,1.25,2500,0.65
308,1.5,2500,0.55
309,1.75,2500,0.45
310,2.0,2500,0.35
311,2.25,2500,0.3
312,2.5,2500,0.25
313,2.75,2500,0.25
314,3.0,2500,0.2
315,3.25,2500,0.2
316,3.5,2500,0.15
317,3.75,2500,0.15
318,4.0,2500,0.1
319,4.25,2500,0.1
320,4.5,2500,0.1
321,4.75,2500,0.1
322,5.0,2500,0.1
323,5.25,2500,0.05
324,5.5,2500,0.05
325,5.75,2500,0.05
326,6.0,2500,0.05
327,6.25,2500,0.05
328,6.5,2500,0.05
329,6.75,2500,0.0
330,7.0,2500,0.0
331,7.25,2500,0.0
332,7.5,2500,0.0
333,7.75,2500,0.0
334,8.0,2500,0.0
335,8.25,2500,0.0
336,8.5,2500,0.0
337,8.75,2500,0.0
338,9.0,2500,0.0
339,9.25,2500,0.0
340,9.5,2500,0.0
341,9.75,2500,0.0
342,0.5,2750,1.8
343,0.75,2750,1.15
344,1.0,2750,0.8
345,1.25,2750,0.65
346,1.5,2750,0.55
347,1.75,2750,0.45
348,2.0,2750,0.35
349,2.25,2750,0.25
350,2.5,2750,0.25
351,2.75,2750,0.25
352,3.0,2750,0.2
353,3.25,2750,0.2
354,3.5,2750,0.15
355,3.75,2750,0.15
356,4.0,2750,0.1
357,4.25,2750,0.1
358,4.5,2750,0.1
359,4.75,2750,0.1
360,5.0,2750,0.05
361,5.25,2750,0.1
362,5.5,2750,0.05
363,5.75,2750,0.05
364,6.0,2750,0.05
365,6.25,2750,0.05
366,6.5,2750,0.05
367,6.75,2750,0.0
368,7.0,2750,0.0
369,7.25,2750,0.0
370,7.5,2750,0.0
371,7.75,2750,0.0
372,8.0,2750,0.0
373,8.25,2750,0.0
374,8.5,2750,-0.05
375,8.75,2750,0.0
376,9.0,2750,0.0
377,9.25,2750,0.0
378,9.5,2750,-0.05
