,K2_value,Initial_population_list,number_of_generations_range,optimum_C_value
186,1.5,1500,7,0.35
187,1.5,1500,8,0.35
188,1.5,1500,9,0.35
189,2.0,1500,1,0.25
190,2.0,1500,2,0.3
191,2.0,1500,3,0.3
192,2.0,1500,4,0.3
193,2.0,1500,5,0.3
194,2.0,1500,6,0.25
195,2.0,1500,7,0.25
196,2.0,1500,8,0.2
197,2.0,1500,9,0.2
198,2.5,1500,1,0.15
199,2.5,1500,2,0.2
200,2.5,1500,3,0.2
201,2.5,1500,4,0.25
202,2.5,1500,5,0.25
203,2.5,1500,6,0.2
204,2.5,1500,7,0.2
205,2.5,1500,8,0.15
206,2.5,1500,9,0.15
207,3.0,1500,1,0.1
208,3.0,1500,2,0.15
209,3.0,1500,3,0.15
210,3.0,1500,4,0.15
211,3.0,1500,5,0.15
212,3.0,1500,6,0.15
213,3.0,1500,7,0.15
214,3.0,1500,8,0.15
215,3.0,1500,9,0.15
216,3.5,1500,1,0.1
217,3.5,1500,2,0.1
218,3.5,1500,3,0.1
219,3.5,1500,4,0.1
220,3.5,1500,5,0.15
221,3.5,1500,6,0.15
222,3.5,1500,7,0.15
223,3.5,1500,8,0.1
224,3.5,1500,9,0.1
225,4.0,1500,1,0.05
226,4.0,1500,2,0.1
227,4.0,1500,3,0.1
228,4.0,1500,4,0.1
229,4.0,1500,5,0.1
230,4.0,1500,6,0.1
231,4.0,1500,7,0.1
232,4.0,1500,8,0.1
233,4.0,1500,9,0.1
234,4.5,1500,1,0.0
235,4.5,1500,2,0.05
236,4.5,1500,3,0.05
237,4.5,1500,4,0.05
238,4.5,1500,5,0.05
239,4.5,1500,6,0.05
240,4.5,1500,7,0.1
241,4.5,1500,8,0.1
242,4.5,1500,9,0.05
243,0.5,2000,1,1.7
244,0.5,2000,2,1.75
245,0.5,2000,3,1.65
246,0.5,2000,4,1.5
247,0.5,2000,5,1.45
248,0.5,2000,6,1.35
249,0.5,2000,7,1.35
250,0.5,2000,8,1.35
251,0.5,2000,9,1.35
252,1.0,2000,1,0.8
253,1.0,2000,2,0.8
254,1.0,2000,3,0.75
255,1.0,2000,4,0.7
256,1.0,2000,5,0.7
257,1.0,2000,6,0.7
258,1.0,2000,7,0.7
259,1.0,2000,8,0.7
260,1.0,2000,9,0.7
261,1.5,2000,1,0.5
262,1.5,2000,2,0.5
263,1.5,2000,3,0.5
264,1.5,2000,4,0.45
265,1.5,2000,5,0.4
266,1.5,2000,6,0.35
267,1.5,2000,7,0.35
268,1.5,2000,8,0.3
269,1.5,2000,9,0.3
270,2.0,2000,1,0.3
271,2.0,2000,2,0.35
272,2.0,2000,3,0.35
273,2.0,2000,4,0.3
274,2.0,2000,5,0.3
275,2.0,2000,6,0.25
276,2.0,2000,7,0.25
277,2.0,2000,8,0.2
278,2.0,2000,9,0.2
279,2.5,2000,1,0.25
280,2.5,2000,2,0.25
281,2.5,2000,3,0.25
282,2.5,2000,4,0.25
283,2.5,2000,5,0.25
284,2.5,2000,6,0.2
285,2.5,2000,7,0.2
286,2.5,2000,8,0.15
287,2.5,2000,9,0.15
288,3.0,2000,1,0.15
289,3.0,2000,2,0.2
290,3.0,2000,3,0.2
291,3.0,2000,4,0.2
292,3.0,2000,5,0.2
293,3.0,2000,6,0.15
294,3.0,2000,7,0.15
295,3.0,2000,8,0.15
296,3.0,2000,9,0.15
297,3.5,2000,1,0.1
298,3.5,2000,2,0.15
299,3.5,2000,3,0.15
300,3.5,2000,4,0.15
301,3.5,2000,5,0.15
302,3.5,2000,6,0.15
303,3.5,2000,7,0.15
304,3.5,2000,8,0.15
305,3.5,2000,9,0.1
306,4.0,2000,1,0.1
307,4.0,2000,2,0.1
308,4.0,2000,3,0.1
309,4.0,2000,4,0.15
310,4.0,2000,5,0.15
311,4.0,2000,6,0.15
312,4.0,2000,7,0.1
313,4.0,2000,8,0.1
314,4.0,2000,9,0.1
315,4.5,2000,1,0.05
316,4.5,2000,2,0.1
317,4.5,2000,3,0.1
318,4.5,2000,4,0.1
319,4.5,2000,5,0.1
320,4.5,2000,6,0.1
321,4.5,2000,7,0.1
322,4.5,2000,8,0.1
323,4.5,2000,9,0.1
324,0.5,2500,1,1.75
325,0.5,2500,2,1.8
326,0.5,2500,3,1.65
327,0.5,2500,4,1.5
328,0.5,2500,5,1.45
329,0.5,2500,6,1.35
330,0.5,2500,7,1.3
331,0.5,2500,8,1.25
332,0.5,2500,9,1.25
333,1.0,2500,1,0.8
334,1.0,2500,2,0.85
335,1.0,2500,3,0.75
336,1.0,2500,4,0.7
337,1.0,2500,5,0.65
338,1.0,2500,6,0.6
339,1.0,2500,7,0.55
340,1.0,2500,8,0.5
341,1.0,2500,9,0.5
342,1.5,2500,1,0.5
343,1.5,2500,2,0.55
344,1.5,2500,3,0.5
345,1.5,2500,4,0.45
346,1.5,2500,5,0.4
347,1.5,2500,6,0.35
348,1.5,2500,7,0.35
349,1.5,2500,8,0.3
350,1.5,2500,9,0.3
351,2.0,2500,1,0.35
352,2.0,2500,2,0.35
353,2.0,2500,3,0.35
354,2.0,2500,4,0.35
355,2.0,2500,5,0.3
356,2.0,2500,6,0.25
357,2.0,2500,7,0.25
358,2.0,2500,8,0.2
359,2.0,2500,9,0.2
360,2.5,2500,1,0.25
361,2.5,2500,2,0.3
362,2.5,2500,3,0.3
363,2.5,2500,4,0.25
364,2.5,2500,5,0.25
365,2.5,2500,6,0.2
366,2.5,2500,7,0.2
367,2.5,2500,8,0.2
368,2.5,2500,9,0.15
369,3.0,2500,1,0.2
370,3.0,2500,2,0.2
371,3.0,2500,3,0.25
372,3.0,2500,4,0.2
373,3.0,2500,5,0.2
374,3.0,2500,6,0.15
375,3.0,2500,7,0.15
376,3.0,2500,8,0.15
377,3.0,2500,9,0.15
378,3.5,2500,1,0.15
379,3.5,2500,2,0.15
380,3.5,2500,3,0.2
381,3.5,2500,4,0.2
382,3.5,2500,5,0.15
383,3.5,2500,6,0.15
384,3.5,2500,7,0.15
385,3.5,2500,8,0.15
386,3.5,2500,9,0.1
387,4.0,2500,1,0.1
388,4.0,2500,2,0.15
389,4.0,2500,3,0.15
390,4.0,2500,4,0.15
391,4.0,2500,5,0.15
392,4.0,2500,6,0.15
393,4.0,2500,7,0.1
394,4.0,2500,8,0.1
395,4.0,2500,9,0.1
396,4.5,2500,1,0.1
397,4.5,2500,2,0.1
398,4.5,2500,3,0.15
399,4.5,2500,4,0.15
400,4.5,2500,5,0.15
401,4.5,2500,6,0.1
402,4.5,2500,7,0.1
403,4.5,2500,8,0.1
404,4.5,2500,9,0.1
405,0.5,3000,1,1.8
406,0.5,3000,2,1.8
407,0.5,3000,3,1.65
408,0.5,3000,4,1.55
409,0.5,3000,5,1.45
410,0.5,3000,6,1.4
411,0.5,3000,7,1.4
412,0.5,3000,8,1.4
413,0.5,3000,9,1.4
414,1.0,3000,1,0.85
415,1.0,3000,2,0.85
